OID,lon_e,lat_e
1,126.23501252,34.37513649
2,126.24511782,34.37524053
3,126.25522317,34.37534374
4,126.26532857,34.37544612
5,126.27543402,34.37554766
6,126.28553953,34.37564837
7,126.29564508,34.37574825
8,126.30575068,34.37584729
9,126.31585633,34.37594550
10,126.32596203,34.37604287
11,126.33606778,34.37613941
12,126.34617358,34.37623511
13,126.35627942,34.37632998
14,126.36638531,34.37642402
15,126.37649125,34.37651722
16,126.38659723,34.37660959
17,126.39670326,34.37670112
18,126.40680934,34.37679182
19,126.41691546,34.37688168
20,126.42702162,34.37697071
21,126.43712783,34.37705891
22,126.44723409,34.37714627
23,126.45734038,34.37723280
24,126.46744672,34.37731849
25,126.47755310,34.37740335
26,126.48765952,34.37748737
27,126.49776599,34.37757056
28,126.50787249,34.37765292
29,126.51797904,34.37773444
30,126.52808563,34.37781513
31,126.53819225,34.37789498
32,126.54829892,34.37797400
33,126.55840563,34.37805218
34,126.56851237,34.37812953
35,126.57861915,34.37820604
36,126.58872598,34.37828172
37,126.59883283,34.37835656
38,126.60893973,34.37843058
39,126.61904666,34.37850375
40,126.62915363,34.37857609
41,126.63926063,34.37864760
42,126.64936767,34.37871827
43,126.65947475,34.37878811
44,126.66958186,34.37885711
45,126.67968900,34.37892528
46,126.68979618,34.37899261
47,126.69990339,34.37905911
48,126.71001063,34.37912478
49,126.72011791,34.37918961
50,126.73022521,34.37925360
51,126.74033255,34.37931676
52,126.75043992,34.37937909
53,126.76054733,34.37944058
54,126.77065476,34.37950124
55,126.78076222,34.37956106
56,126.79086971,34.37962005
57,126.80097723,34.37967820
58,126.81108478,34.37973552
59,126.82119236,34.37979200
60,126.83129997,34.37984765
61,126.84140760,34.37990246
62,126.85151526,34.37995644
63,126.86162295,34.38000959
64,126.87173066,34.38006190
65,126.88183840,34.38011337
66,126.89194616,34.38016401
67,126.90205395,34.38021382
68,126.91216177,34.38026279
69,126.92226961,34.38031092
70,126.93237747,34.38035823
