OID,lon_e,lat_e
1,126.4175772,35.35950158
2,126.4278043,35.35959276
3,126.4380314,35.35968306
4,126.4482586,35.35977251
5,126.4584859,35.35986108
6,126.4687132,35.35994879
7,126.4789405,35.36003564
8,126.4891679,35.36012162
9,126.4993953,35.36020674
10,126.5096228,35.36029099
11,126.5198503,35.36037437
12,126.5300778,35.36045689
13,126.5403054,35.36053855
14,126.550533,35.36061934
15,126.5607607,35.36069926
16,126.5709884,35.36077832
17,126.5812162,35.36085652
18,126.591444,35.36093384
19,126.6016718,35.36101031
20,126.6118997,35.3610859
21,126.6221276,35.36116063
22,126.6323555,35.3612345
23,126.6425835,35.3613075
24,126.6528115,35.36137964
25,126.6630396,35.36145091
26,126.6732676,35.36152131
27,126.6834958,35.36159085
28,126.6937239,35.36165952
29,126.7039521,35.36172733
30,126.7141803,35.36179427
31,126.7244086,35.36186035
32,126.7346369,35.36192556
33,126.7448652,35.36198991
34,126.7550936,35.36205339
35,126.765322,35.362116
36,126.7755504,35.36217775
37,126.7857788,35.36223863
38,126.7960073,35.36229865
39,126.8062358,35.3623578
40,126.8164644,35.36241609
41,126.826693,35.36247351
42,126.8369216,35.36253007
43,126.8471502,35.36258576
44,126.8573788,35.36264058
45,126.8676075,35.36269454
46,126.8778362,35.36274763
47,126.888065,35.36279986
48,126.8982937,35.36285122
49,126.9085225,35.36290172
50,126.9187513,35.36295135
51,126.9289802,35.36300011
52,126.939209,35.36304801
53,126.9494379,35.36309504
54,126.9596668,35.36314121
55,126.9698958,35.36318651
56,126.9801247,35.36323095
57,126.9903537,35.36327452
58,127.0005827,35.36331722
59,127.0108117,35.36335906
60,127.0210408,35.36340003
61,127.0312698,35.36344014
62,127.0414989,35.36347938
63,127.051728,35.36351776
64,127.0619571,35.36355527
65,127.0721863,35.36359191
66,127.0824154,35.36362769
67,127.0926446,35.3636626
68,127.1028738,35.36369665
69,127.113103,35.36372983
70,127.1233322,35.36376215
71,127.1335615,35.3637936
72,127.1437907,35.36382418
73,127.15402,35.3638539
74,127.1642493,35.36388275
75,127.1744786,35.36391074
76,127.1847079,35.36393786
77,127.1949373,35.36396411
78,127.2051666,35.3639895
79,127.2153959,35.36401402
80,127.2256253,35.36403768
81,127.2358547,35.36406047
82,127.2460841,35.3640824
83,127.2563135,35.36410346
84,127.2665429,35.36412365
85,127.2767723,35.36414298
86,127.2870018,35.36416144
87,127.2972312,35.36417904
88,127.3074606,35.36419577
89,127.3176901,35.36421163
90,127.3279196,35.36422663
91,127.338149,35.36424076
92,127.3483785,35.36425403
93,127.358608,35.36426643
94,127.3688375,35.36427797
95,127.379067,35.36428864
96,127.3892965,35.36429844
97,127.399526,35.36430738
98,127.4097555,35.36431545
99,127.419985,35.36432265
100,127.4302145,35.36432899
101,127.4404441,35.36433447
102,127.4506736,35.36433908
103,127.4609031,35.36434282
104,127.4711327,35.3643457
105,127.4813622,35.36434771
106,127.4915917,35.36434885
107,127.5018212,35.36434913
108,127.5120508,35.36434854
109,127.5222803,35.36434709
110,127.5325098,35.36434477
111,127.5427394,35.36434159
112,127.5529689,35.36433753
113,127.5631984,35.36433262
114,127.5734279,35.36432684
115,127.5836574,35.36432019
116,127.593887,35.36431267
117,127.6041165,35.36430429
118,127.614346,35.36429505
119,127.6245755,35.36428494
120,127.634805,35.36427396
121,127.6450345,35.36426212
122,127.6552639,35.36424941
123,127.6654934,35.36423583
124,127.6757229,35.36422139
125,127.6859524,35.36420608
126,127.6961818,35.36418991
127,127.7064113,35.36417287
128,127.7166407,35.36415497
129,127.7268701,35.3641362
130,127.7370995,35.36411656
131,127.7473289,35.36409606
132,127.7575583,35.36407469
133,127.7677877,35.36405246
134,127.7780171,35.36402936
135,127.7882465,35.36400539
136,127.7984758,35.36398056
