OID,lon_e,lat_e
1,126.30630797,36.33735509
2,126.31666101,36.33745806
3,126.32701411,36.33756014
4,126.33736726,36.33766131
5,126.34772046,36.33776160
6,126.35807372,36.33786098
7,126.36842702,36.33795947
8,126.37878037,36.33805706
9,126.38913377,36.33815375
10,126.39948723,36.33824955
11,126.40984073,36.33834445
12,126.42019427,36.33843845
13,126.43054787,36.33853156
14,126.44090152,36.33862377
15,126.45125521,36.33871509
16,126.46160894,36.33880550
17,126.47196273,36.33889502
18,126.48231655,36.33898365
19,126.49267043,36.33907137
20,126.50302435,36.33915820
21,126.51337831,36.33924414
22,126.52373231,36.33932917
23,126.53408636,36.33941331
24,126.54444045,36.33949655
25,126.55479459,36.33957890
26,126.56514876,36.33966035
27,126.57550298,36.33974090
28,126.58585724,36.33982055
29,126.59621153,36.33989931
30,126.60656587,36.33997717
31,126.61692025,36.34005414
32,126.62727467,36.34013020
33,126.63762912,36.34020537
34,126.64798362,36.34027965
35,126.65833815,36.34035302
36,126.66869272,36.34042550
37,126.67904732,36.34049708
38,126.68940196,36.34056777
39,126.69975664,36.34063756
40,126.71011135,36.34070645
41,126.72046610,36.34077444
42,126.73082088,36.34084154
43,126.74117570,36.34090774
44,126.75153055,36.34097304
45,126.76188543,36.34103745
46,126.77224034,36.34110096
47,126.78259529,36.34116357
48,126.79295027,36.34122528
49,126.80330528,36.34128610
50,126.81366032,36.34134602
51,126.82401540,36.34140504
52,126.83437050,36.34146317
53,126.84472563,36.34152040
54,126.85508079,36.34157673
55,126.86543598,36.34163216
56,126.87579119,36.34168670
57,126.88614644,36.34174034
58,126.89650171,36.34179308
59,126.90685701,36.34184493
60,126.91721233,36.34189587
61,126.92756768,36.34194593
62,126.93792306,36.34199508
63,126.94827846,36.34204334
64,126.95863388,36.34209070
65,126.96898933,36.34213716
66,126.97934480,36.34218272
67,126.98970030,36.34222739
68,127.00005582,36.34227116
69,127.01041136,36.34231403
70,127.02076692,36.34235601
71,127.03112250,36.34239709
72,127.04147810,36.34243727
73,127.05183373,36.34247655
74,127.06218937,36.34251494
75,127.07254503,36.34255243
76,127.08290071,36.34258902
77,127.09325641,36.34262472
78,127.10361213,36.34265951
79,127.11396787,36.34269341
80,127.12432362,36.34272642
81,127.13467939,36.34275852
82,127.14503518,36.34278973
83,127.15539098,36.34282004
84,127.16574680,36.34284945
85,127.17610263,36.34287797
86,127.18645847,36.34290559
87,127.19681433,36.34293231
88,127.20717020,36.34295813
89,127.21752609,36.34298306
90,127.22788199,36.34300709
91,127.23823790,36.34303022
92,127.24859382,36.34305245
93,127.25894975,36.34307379
94,127.26930570,36.34309423
95,127.27966165,36.34311377
96,127.29001762,36.34313242
97,127.30037359,36.34315017
98,127.31072957,36.34316702
99,127.32108556,36.34318297
100,127.33144156,36.34319802
101,127.34179757,36.34321218
102,127.35215358,36.34322544
103,127.36250960,36.34323781
104,127.37286562,36.34324927
105,127.38322165,36.34325984
106,127.39357769,36.34326951
107,127.40393373,36.34327828
108,127.41428977,36.34328616
109,127.42464582,36.34329314
110,127.43500188,36.34329922
111,127.44535793,36.34330440
112,127.45571399,36.34330869
113,127.46607005,36.34331208
114,127.47642611,36.34331457
115,127.48678217,36.34331616
116,127.49713823,36.34331686
117,127.50749430,36.34331666
118,127.51785036,36.34331556
119,127.52820642,36.34331357
120,127.53856248,36.34331067
121,127.54891854,36.34330688
122,127.55927459,36.34330219
123,127.56963065,36.34329661
124,127.57998670,36.34329013
125,127.59034275,36.34328275
126,127.60069879,36.34327447
127,127.61105483,36.34326529
128,127.62141086,36.34325522
129,127.63176689,36.34324425
130,127.64212291,36.34323239
131,127.65247893,36.34321962
132,127.66283494,36.34320596
133,127.67319094,36.34319140
134,127.68354694,36.34317594
135,127.69390292,36.34315959
136,127.70425890,36.34314234
137,127.71461487,36.34312419
138,127.72497083,36.34310514
139,127.73532678,36.34308520
140,127.74568272,36.34306436
141,127.75603864,36.34304262
142,127.76639456,36.34301998
143,127.77675047,36.34299645
144,127.78710636,36.34297202
145,127.79746224,36.34294669
146,127.80781811,36.34292047
147,127.81817396,36.34289334
148,127.82852980,36.34286532
149,127.83888562,36.34283641
150,127.84924143,36.34280659
151,127.85959723,36.34277588
152,127.86995301,36.34274427
153,127.88030877,36.34271176
154,127.89066451,36.34267836
155,127.90102024,36.34264406
156,127.91137595,36.34260886
157,127.92173164,36.34257276
158,127.93208732,36.34253577
159,127.94244297,36.34249788
160,127.95279861,36.34245909
161,127.96315422,36.34241941
162,127.97350982,36.34237882
163,127.98386539,36.34233734
164,127.99422094,36.34229497
165,128.00457647,36.34225169
166,128.01493198,36.34220752
167,128.02528746,36.34216245
168,128.03564293,36.34211648
169,128.04599836,36.34206962
170,128.05635378,36.34202186
171,128.06670917,36.34197320
172,128.07706453,36.34192365
173,128.08741987,36.34187320
174,128.09777518,36.34182185
175,128.10813047,36.34176960
176,128.11848573,36.34171645
177,128.12884096,36.34166241
178,128.13919616,36.34160748
179,128.14955134,36.34155164
180,128.15990649,36.34149491
181,128.17026160,36.34143728
182,128.18061669,36.34137875
183,128.19097175,36.34131933
184,128.20132678,36.34125900
185,128.21168178,36.34119779
186,128.22203674,36.34113567
187,128.23239167,36.34107266
188,128.24274657,36.34100875
189,128.25310144,36.34094394
190,128.26345628,36.34087824
191,128.27381108,36.34081164
192,128.28416584,36.34074414
193,128.29452058,36.34067574
194,128.30487527,36.34060645
195,128.31522993,36.34053626
196,128.32558456,36.34046518
197,128.33593915,36.34039319
198,128.34629370,36.34032031
199,128.35664821,36.34024653
200,128.36700269,36.34017186
201,128.37735713,36.34009629
202,128.38771153,36.34001982
203,128.39806589,36.33994246
204,128.40842021,36.33986419
205,128.41877449,36.33978503
206,128.42912873,36.33970498
207,128.43948293,36.33962402
208,128.44983708,36.33954218
209,128.46019120,36.33945943
210,128.47054527,36.33937578
211,128.48089930,36.33929124
212,128.49125329,36.33920581
213,128.50160723,36.33911947
214,128.51196113,36.33903224
215,128.52231498,36.33894411
216,128.53266879,36.33885509
217,128.54302255,36.33876517
218,128.55337627,36.33867435
219,128.56372994,36.33858264
220,128.57408356,36.33849002
221,128.58443713,36.33839651
222,128.59479066,36.33830211
223,128.60514414,36.33820681
224,128.61549757,36.33811061
225,128.62585095,36.33801351
226,128.63620428,36.33791552
227,128.64655756,36.33781663
228,128.65691079,36.33771685
229,128.66726397,36.33761617
230,128.67761710,36.33751459
231,128.68797017,36.33741211
232,128.69832319,36.33730874
233,128.70867616,36.33720447
234,128.71902908,36.33709931
235,128.72938194,36.33699325
236,128.73973475,36.33688629
237,128.75008750,36.33677843
238,128.76044020,36.33666968
239,128.77079284,36.33656004
240,128.78114543,36.33644949
241,128.79149796,36.33633805
242,128.80185043,36.33622571
243,128.81220285,36.33611248
244,128.82255520,36.33599835
245,128.83290750,36.33588333
246,128.84325974,36.33576740
247,128.85361192,36.33565058
248,128.86396404,36.33553287
249,128.87431610,36.33541426
250,128.88466810,36.33529475
251,128.89502003,36.33517435
252,128.90537191,36.33505305
253,128.91572373,36.33493085
254,128.92607548,36.33480776
255,128.93642716,36.33468377
256,128.94677879,36.33455888
257,128.95713035,36.33443310
258,128.96748185,36.33430642
259,128.97783328,36.33417885
260,128.98818464,36.33405038
261,128.99853594,36.33392101
262,129.00888718,36.33379075
263,129.01923835,36.33365959
264,129.02958945,36.33352754
265,129.03994048,36.33339459
266,129.05029144,36.33326074
267,129.06064234,36.33312600
268,129.07099317,36.33299036
269,129.08134393,36.33285383
270,129.09169461,36.33271640
271,129.10204523,36.33257807
272,129.11239578,36.33243885
273,129.12274625,36.33229873
274,129.13309666,36.33215772
275,129.14344699,36.33201581
276,129.15379725,36.33187300
277,129.16414743,36.33172930
278,129.17449755,36.33158470
279,129.18484758,36.33143921
280,129.19519755,36.33129282
281,129.20554744,36.33114554
282,129.21589725,36.33099736
283,129.22624699,36.33084828
284,129.23659665,36.33069831
285,129.24694623,36.33054744
286,129.25729574,36.33039568
287,129.26764517,36.33024302
288,129.27799452,36.33008947
289,129.28834380,36.32993502
290,129.29869299,36.32977967
291,129.30904211,36.32962343
292,129.31939114,36.32946629
293,129.32974010,36.32930826
294,129.34008897,36.32914934
295,129.35043776,36.32898951
296,129.36078647,36.32882880
297,129.37113510,36.32866718
298,129.38148365,36.32850467
299,129.39183211,36.32834127
300,129.40218049,36.32817697
301,126.30620826,36.34388747
302,126.31656217,36.34399047
303,126.32691614,36.34409257
304,126.33727015,36.34419377
305,126.34762422,36.34429407
306,126.35797833,36.34439348
307,126.36833250,36.34449199
308,126.37868672,36.34458960
309,126.38904099,36.34468632
310,126.39939530,36.34478214
311,126.40974967,36.34487707
312,126.42010408,36.34497109
313,126.43045854,36.34506422
314,126.44081305,36.34515645
315,126.45116760,36.34524779
316,126.46152221,36.34533823
317,126.47187685,36.34542777
318,126.48223155,36.34551641
319,126.49258628,36.34560416
320,126.50294107,36.34569101
321,126.51329589,36.34577696
322,126.52365076,36.34586202
323,126.53400568,36.34594618
324,126.54436063,36.34602944
325,126.55471563,36.34611181
326,126.56507067,36.34619328
327,126.57542575,36.34627385
328,126.58578087,36.34635352
329,126.59613604,36.34643230
330,126.60649124,36.34651018
331,126.61684648,36.34658716
332,126.62720176,36.34666324
333,126.63755708,36.34673843
334,126.64791244,36.34681272
335,126.65826784,36.34688612
336,126.66862327,36.34695861
337,126.67897874,36.34703021
338,126.68933425,36.34710091
339,126.69968979,36.34717072
340,126.71004537,36.34723962
341,126.72040098,36.34730763
342,126.73075662,36.34737475
343,126.74111231,36.34744096
344,126.75146802,36.34750628
345,126.76182377,36.34757070
346,126.77217955,36.34763423
347,126.78253536,36.34769685
348,126.79289120,36.34775858
349,126.80324708,36.34781941
350,126.81360299,36.34787935
351,126.82395892,36.34793838
352,126.83431489,36.34799652
353,126.84467089,36.34805377
354,126.85502691,36.34811011
355,126.86538296,36.34816556
356,126.87573905,36.34822011
357,126.88609515,36.34827376
358,126.89645129,36.34832652
359,126.90680745,36.34837837
360,126.91716364,36.34842933
361,126.92751986,36.34847940
362,126.93787610,36.34852856
363,126.94823236,36.34857683
364,126.95858865,36.34862420
365,126.96894497,36.34867067
366,126.97930131,36.34871625
367,126.98965767,36.34876093
368,127.00001405,36.34880471
369,127.01037045,36.34884759
370,127.02072688,36.34888958
371,127.03108333,36.34893067
372,127.04143980,36.34897086
373,127.05179628,36.34901015
374,127.06215279,36.34904854
375,127.07250932,36.34908604
376,127.08286587,36.34912264
377,127.09322243,36.34915835
378,127.10357902,36.34919315
379,127.11393562,36.34922706
380,127.12429223,36.34926007
381,127.13464887,36.34929218
382,127.14500552,36.34932340
383,127.15536219,36.34935372
384,127.16571887,36.34938314
385,127.17607557,36.34941166
386,127.18643228,36.34943929
387,127.19678900,36.34946601
388,127.20714574,36.34949184
389,127.21750249,36.34951678
390,127.22785925,36.34954081
391,127.23821603,36.34956395
392,127.24857282,36.34958619
393,127.25892961,36.34960753
394,127.26928642,36.34962797
395,127.27964324,36.34964752
396,127.29000007,36.34966617
397,127.30035691,36.34968392
398,127.31071376,36.34970078
