OID,lon_e,lat_e
1,126.22539784,37.31030044
2,126.23588248,37.31041291
3,126.24636717,37.31052446
4,126.25685192,37.31063508
5,126.26733673,37.31074478
6,126.27782159,37.31085354
7,126.28830651,37.31096138
8,126.29879149,37.31106828
9,126.30927652,37.31117426
10,126.31976160,37.31127931
11,126.33024674,37.31138343
12,126.34073194,37.31148662
13,126.35121718,37.31158888
14,126.36170248,37.31169022
15,126.37218783,37.31179062
16,126.38267324,37.31189010
17,126.39315869,37.31198864
18,126.40364420,37.31208626
19,126.41412976,37.31218295
20,126.42461536,37.31227871
21,126.43510102,37.31237354
22,126.44558672,37.31246745
23,126.45607247,37.31256042
24,126.46655827,37.31265247
25,126.47704412,37.31274358
26,126.48753001,37.31283377
27,126.49801595,37.31292303
28,126.50850194,37.31301136
29,126.51898797,37.31309876
30,126.52947405,37.31318523
31,126.53996017,37.31327077
32,126.55044634,37.31335538
33,126.56093255,37.31343907
34,126.57141880,37.31352182
35,126.58190510,37.31360365
36,126.59239144,37.31368455
37,126.60287782,37.31376452
38,126.61336424,37.31384355
39,126.62385070,37.31392166
40,126.63433720,37.31399884
41,126.64482374,37.31407510
42,126.65531032,37.31415042
43,126.66579694,37.31422481
44,126.67628360,37.31429828
45,126.68677029,37.31437081
46,126.69725702,37.31444242
47,126.70774379,37.31451309
48,126.71823060,37.31458284
49,126.72871744,37.31465166
50,126.73920432,37.31471955
51,126.74969123,37.31478651
52,126.76017818,37.31485254
53,126.77066516,37.31491764
54,126.78115217,37.31498181
55,126.79163922,37.31504505
56,126.80212630,37.31510737
57,126.81261341,37.31516875
58,126.82310055,37.31522921
59,126.83358773,37.31528873
60,126.84407493,37.31534733
61,126.85456216,37.31540500
62,126.86504943,37.31546173
63,126.87553672,37.31551754
64,126.88602404,37.31557242
65,126.89651139,37.31562637
66,126.90699877,37.31567939
67,126.91748618,37.31573148
68,126.92797361,37.31578264
69,126.93846107,37.31583288
70,126.94894855,37.31588218
71,126.95943606,37.31593055
72,126.96992360,37.31597800
