bd_name,bd_address,bd_id,bd_lat,bd_lon,cat_gr,cat_cd,cat_name,keyword
EiE고려대학교국제어학원 완도캠퍼스,전남 완도군 완도읍 군내리 1263-10,679047778,34.31632836,126.7518868,학원,AC5,"교육,학문 > 학원 > 어학원 > 영어학원",대학교
청암대학연수원,전남 고흥군 봉래면 외초리 290-1,25534960,34.42644546,127.4946944,,,"교육,학문 > 교육단체 > 연수원",대학교
EiE고려대학교국제어학원,전남 해남군 해남읍 구교리 90-4,371853511,34.57807812,126.5922698,학원,AC5,"교육,학문 > 학원 > 어학원 > 영어학원",대학교
와플대학 해남캠퍼스,전남 해남군 해남읍 성내리 17-4,1099305386,34.57162119,126.5996453,음식점,FD6,"음식점 > 간식 > 제과,베이커리 > 와플대학",대학교
한국방송통신대학교 해남군학습관,전남 해남군 해남읍 해리 456-1,18415808,34.57112249,126.6067933,,,"교육,학문 > 학교부속시설",대학교
전남대학교 사도수련원,전남 여수시 화정면 낭도리 208,1384767870,34.5923618,127.5554186,,,"교육,학문 > 교육단체 > 연수원",대학교
초당대학교 콘도르비행교육원 산이비행장,전남 해남군 산이면 진산리 1392,1972707519,34.62974725,126.4163342,,,"교육,학문 > 학교부속시설",대학교
고흥실버대학,전남 고흥군 고흥읍 서문리 245-4,1862198378,34.61046192,127.2786888,,,"교육,학문 > 학교",대학교
성화대학 (폐교),전남 강진군 성전면 월평리 산 224,11126278,34.68871902,126.7068033,,,"교육,학문 > 학교 > 폐교",대학교
성화대학원룸아파트,전남 강진군 성전면 월평리 산 224,23944351,34.69060033,126.7079447,,,부동산 > 주거시설 > 아파트,대학교
전남도립대학교 남도국제교육원,전남 장흥군 안양면 기산리 산 89,17592737,34.66768795,126.9445796,,,"교육,학문 > 교육단체",대학교
원광대학교 장흥통합의료병원,전남 장흥군 안양면 기산리 1-1,1360002501,34.67901813,126.9583624,,,"의료,건강 > 병원",대학교
전남도립대학교 남도국제교육원 본관,전남 장흥군 안양면 기산리 756,17561431,34.66724434,126.9443442,,,"교육,학문 > 교육단체",대학교
전남도립대학교 남도국제교육원 기숙사,전남 장흥군 안양면 기산리 214-1,17559887,34.66743319,126.9473902,,,"교육,학문 > 교육단체",대학교
전남도립대학교 남도국제교육원 학생회관,전남 장흥군 안양면 기산리 산 89-3,17566222,34.6669384,126.9455663,,,"교육,학문 > 교육단체",대학교
원광대학교 장흥통합의료병원 난치질환통합치료연구소,전남 장흥군 안양면 비동리 398-1,27399053,34.67886749,126.9580875,,,"교육,학문 > 연구소 > 의학,약학연구소",대학교
전남대학교 국동캠퍼스,전남 여수시 국동 195,9984087,34.72902099,127.717187,학교,SC4,"교육,학문 > 학교 > 대학교",대학교
전남대학교 여수캠퍼스 아트센터,전남 여수시 국동 161-4,20953553,34.72775691,127.7175473,,,"교육,학문 > 학교부속시설",대학교
전남대학교 여수생활관 미래학사,전남 여수시 국동 1050-1,1826108626,34.72822785,127.7153306,,,"부동산 > 주거시설 > 기숙사,기숙시설",대학교
전남대학교 여수평생교육원,전남 여수시 국동 1057,13015974,34.72838452,127.7162819,,,"교육,학문 > 교육단체 > 평생교육원,사회교육원",대학교
전남대학교 여수캠퍼스 총동창회,전남 여수시 국동 185,1397521802,34.72843564,127.7163249,,,"가정,생활 > 친목 > 동창회,동문회",대학교
전남대학교협동관 여수캠퍼스,전남 여수시 국동 195,26105211,34.72837666,127.716391,,,"교육,학문 > 학교부속시설",대학교
"전남대학교 여수캠퍼스 평생교육원(1층, 미술관)",전남 여수시 국동 195,1792448021,34.72884991,127.7168482,,,이슈 > 선거 > 사전투표소 > 전라남도 > 국동사전투표소,대학교
세한대학교 영암캠퍼스,전남 영암군 삼호읍 산호리 280-1,26493106,34.74745304,126.4834222,학교,SC4,"교육,학문 > 학교 > 대학교",대학교
목포대학교 신해양산업단지캠퍼스,전남 영암군 삼호읍 용앙리 1703-17,25411923,34.75596245,126.4491063,학교,SC4,"교육,학문 > 학교 > 대학교",대학교
세한대학교 간호학과,전남 영암군 삼호읍 산호리 280-1,23665567,34.74987128,126.4842164,,,"교육,학문 > 학교부속시설",대학교
세한대학교 골프연습장,전남 영암군 삼호읍 산호리 281-2,17560606,34.752326,126.4883206,,,"스포츠,레저 > 골프 > 골프연습장",대학교
목포대학교 해양케이블시험연구센터,전남 영암군 삼호읍 용앙리 1703-7,386955427,34.75645406,126.4485832,,,"교육,학문 > 연구소",대학교
세한대학교 무등관,전남 영암군 삼호읍 산호리 산 71-9,17567642,34.74545381,126.4840822,,,"교육,학문 > 학교부속시설",대학교
세한대학교 정보관,전남 영암군 삼호읍 산호리 산 71-4,17566733,34.74637548,126.4846094,,,"교육,학문 > 학교부속시설",대학교
세한대학교 일반대학원,전남 영암군 삼호읍 산호리 280-1,23712551,34.74825293,126.4843531,,,"교육,학문 > 학교 > 대학원",대학교
세한대학교 축구장,전남 영암군 삼호읍 산호리 280-1,17569011,34.74892648,126.4850391,,,"스포츠,레저 > 축구 > 축구장",대학교
세한대학교 구암체육관,전남 영암군 삼호읍 산호리 277-2,17807446,34.74772974,126.4851165,,,"스포츠,레저 > 스포츠시설 > 체육관",대학교
세한대학교 영암캠퍼스 CLT,전남 영암군 삼호읍 산호리 산 71-8,1063454424,34.74728851,126.4833107,,,"교육,학문 > 교육단체",대학교
