bd_name,bd_address,bd_id,bd_lat,bd_lon,cat_gr,cat_cd,cat_name,keyword
한국리더문화협회,전남 진도군 고군면 금계리 191-1,18402474,34.43840584,126.35174,,,"사회,공공기관 > 단체,협회",문화시설
의신문화복지센터,전남 진도군 의신면 돈지리 282-1,22893397,34.44009351,126.2851386,,,"사회,공공기관 > 단체,협회 > 사회복지시설",문화시설
한국리더문화협회 진도지회,전남 진도군 고군면 금계리 57,700425144,34.44245207,126.3593688,,,"사회,공공기관 > 단체,협회",문화시설
완도음식문화거리,전남 완도군 완도읍 가용리 1014-7,1048908791,34.32456727,126.7484876,관광명소,AT4,"여행 > 관광,명소 > 테마거리 > 먹자골목",문화시설
완도문화예술의전당,전남 완도군 완도읍 가용리 9-191,23951931,34.32367681,126.7416558,,,"교육,학문 > 문화센터",문화시설
문화식당,전남 완도군 완도읍 군내리 1343,13624233,34.31522123,126.7540694,음식점,FD6,"음식점 > 한식 > 해물,생선 > 추어",문화시설
완도군농어민문화체육센터,전남 완도군 완도읍 가용리 50-85,11584269,34.31587004,126.7416819,,,"스포츠,레저 > 스포츠시설 > 체육관",문화시설
완도청소년문화의집 하리,전남 완도군 완도읍 가용리 1054-1,9272450,34.32273902,126.7432515,,,"사회,공공기관 > 단체,협회 > 사회복지시설",문화시설
전라남도청소년성문화센터,전남 완도군 군외면 삼두리 96-1,11865857,34.34907507,126.6703344,,,"교육,학문 > 문화센터",문화시설
완도군생활문화센터,전남 완도군 완도읍 군내리 1256-2,1040298594,34.31662457,126.7416774,,,"교육,학문 > 문화센터",문화시설
완도청소년문화센터,전남 완도군 완도읍 군내리 1248-14,23953697,34.31621606,126.7485386,,,"교육,학문 > 문화센터",문화시설
동망산생태문화탐방로,전남 완도군 완도읍 군내리 산 101,1901666578,34.30880509,126.7682544,,,"교육,학문 > 교육단체 > 체험학습장",문화시설
농어민문화체육센터 전기차충전소,전남 완도군 완도읍 군내리 1256-2,1035280113,34.31654779,126.7416016,,,"교통,수송 > 자동차 > 전기자동차 충전소",문화시설
지진실내구호소 완도 문화예술의전당,전남 완도군 완도읍 가용리 9-191,1720627998,34.32367682,126.7416579,,,치안기관 > 대피소 > 지진대피소,문화시설
한국SGI 완도문화회관,전남 완도군 완도읍 군내리 1114-11,10025039,34.31349165,126.740694,,,"문화,예술 > 종교 > 종교시설",문화시설
빙그레시네마,전남 완도군 완도읍 가용리 9-191,56917915,34.32375302,126.7418859,문화시설,CT1,"문화,예술 > 영화,영상 > 영화관",문화시설
금일읍다목적문화복지관,전남 완도군 금일읍 화목리 982,323933548,34.35078504,127.0277947,,,"사회,공공기관 > 단체,협회 > 사회복지시설",문화시설
금일건강문화센터,전남 완도군 금일읍 화목리 1001,23953232,34.34977562,127.0267552,,,"교육,학문 > 문화센터",문화시설
문화,전남 해남군 삼산면 평활리,25237852,34.51448963,126.6276106,,,부동산 > 지명,문화시설
하저문화회관,전남 강진군 대구면 저두리 398-2,23943162,34.52426229,126.7919041,,,"가정,생활 > 친목 > 마을회관",문화시설
강진온벗교육문화공동체,전남 강진군 대구면 사당리 323-29,707339222,34.50679988,126.8008833,,,"교육,학문 > 교육단체",문화시설
진도문화연구원,전남 진도군 고군면 고성리 300,1628735393,34.50185824,126.3129675,,,"교육,학문 > 연구소",문화시설
모란복지문화센터,전남 진도군 진도읍 동외리 393,831453042,34.48778868,126.2823891,,,"사회,공공기관 > 단체,협회 > 사회복지시설",문화시설
진도향토문화회관,전남 진도군 진도읍 동외리 1189,11374066,34.47960803,126.2697362,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
진도문화지소,전남 진도군 진도읍 동외리 1140-1,1487697551,34.4807294,126.2700356,,,"사회,공공기관 > 단체,협회",문화시설
행복전남 진도문화지소,전남 진도군 진도읍 동외리 1140-1,1802723706,34.48076533,126.2700146,,,"문화,예술 > 미술,공예 > 전통공예",문화시설
진도문화예술제,전남 진도군 진도읍 동외리 1189,1111423134,34.47948233,126.26982,,,여행 > 축제,문화시설
진도문화회관 전기차충전소,전남 진도군 진도읍 동외리 1189,1446032483,34.47864195,126.2693266,,,"교통,수송 > 자동차 > 전기자동차 충전소",문화시설
진도향토문화회관 대공연장,전남 진도군 진도읍 동외리 1189,8075628,34.47949665,126.2698025,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
진도 향토문화회관 출입구2,전남 진도군 진도읍 동외리 1189,18090808,34.48007872,126.2694578,,,"교통,수송 > 입출구",문화시설
목재문화체험장,전남 해남군 문내면 학동리 1362,1937741871,34.57828233,126.312664,,,"교육,학문 > 교육단체 > 체험학습장",문화시설
진도향토문화회관 출입구,전남 진도군 진도읍 동외리 1189,18090806,34.4795217,126.2697718,,,"교통,수송 > 입출구",문화시설
진도향토문화회관 주차장2,전남 진도군 진도읍 동외리 1189,17571721,34.48017742,126.2696833,주차장,PK6,"교통,수송 > 교통시설 > 주차장",문화시설
진도향토문화회관 주차장1,전남 진도군 진도읍 동외리 1189,17570665,34.47898803,126.2697677,주차장,PK6,"교통,수송 > 교통시설 > 주차장",문화시설
우수영문화마을 정제카페,전남 해남군 문내면 선두리 439-1,1552025314,34.58910221,126.3093312,카페,CE7,음식점 > 카페,문화시설
우수영문화마을주민협의회,전남 해남군 문내면 선두리 421-6,883134934,34.58840437,126.3115387,,,"사회,공공기관 > 단체,협회",문화시설
우수영문화마을점빵,전남 해남군 문내면 선두리 421-2,44408709,34.58858335,126.3108298,음식점,FD6,"음식점 > 간식 > 제과,베이커리",문화시설
문내면생활문화센타,전남 해남군 문내면 동외리 1187-2,27208862,34.59193464,126.3084052,,,"교육,학문 > 문화센터",문화시설
한국SGI 진도문화회관,전남 진도군 진도읍 쌍정리 257-1,11213540,34.48038145,126.2658237,,,"문화,예술 > 종교 > 종교시설",문화시설
전남국제수묵비엔날레 6관,전남 진도군 진도읍 동외리 1189,195798235,34.47946043,126.2697766,문화시설,CT1,"문화,예술 > 문화시설 > 전시관",문화시설
옥산미술관,전남 진도군 진도읍 동외리 1189,26154927,34.47954328,126.2697629,문화시설,CT1,"문화,예술 > 문화시설 > 미술관",문화시설
소리카페,전남 진도군 진도읍 동외리 1189,2086652189,34.47970566,126.2685771,카페,CE7,음식점 > 카페 > 커피전문점,문화시설
진도아리랑축제,전남 진도군 진도읍 동외리 1189,10785316,34.47962613,126.2697491,,,여행 > 축제,문화시설
황산대형마트,전남 해남군 황산면 남리리 1-3,10044503,34.5757275,126.432194,,,"가정,생활 > 슈퍼마켓",대형마트
해남문화예술회관 대공연장,전남 해남군 해남읍 성내리 4,27306976,34.57316218,126.6000521,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
문화지업사,전남 해남군 해남읍 고도리 100-25,8990754,34.56854277,126.5977247,,,"서비스,산업 > 건설,건축 > 건설자재",문화시설
댄스문화센터학원,전남 해남군 해남읍 고도리 401-44,1848171544,34.56607355,126.5946724,,,"문화,예술 > 무용,댄스",문화시설
해남문화관광재단,전남 해남군 해남읍 성내리 42-2,551661896,34.57294398,126.5983879,,,"문화,예술 > 문화예술단체",문화시설
재단법인한국SGI해남문화회관,전남 해남군 해남읍 남외리 442,23952905,34.57311607,126.5915693,,,"문화,예술 > 종교 > 종교시설",문화시설
땅끝문화,전남 해남군 해남읍 수성리 70,8958659,34.57339432,126.6015723,,,"서비스,산업 > 인쇄,복사",문화시설
해남군청소년누림문화센터,전남 해남군 해남읍 해리 355-1,1184150212,34.56947036,126.6057386,,,"사회,공공기관 > 단체,협회 > 사회복지시설 > 청소년복지시설",문화시설
해남군청소년누림문화센터 주차장,전남 해남군 해남읍 해리 355-1,275411071,34.56924581,126.6059903,주차장,PK6,"교통,수송 > 교통시설 > 주차장 > 공영주차장",문화시설
한국예술문화단체총연합회 해남지회,전남 해남군 해남읍 성내리 4,1221871850,34.57316203,126.6000041,,,"문화,예술 > 문화예술단체",문화시설
지진실내구호소 해남문화예술회관,전남 해남군 해남읍 성내리 4,1693369159,34.57347986,126.5990654,,,치안기관 > 대피소 > 지진대피소,문화시설
고미문화건축,전남 해남군 해남읍 해리 458-1,1502736149,34.57119536,126.6075874,,,"서비스,산업 > 건설,건축",문화시설
방촌문화마을,전남 장흥군 관산읍 방촌리 621-4,13128299,34.55107033,126.9446483,,,부동산 > 지명,문화시설
마복산목재문화체험장,전남 고흥군 포두면 옥강리 산 379-4,26153022,34.55009591,127.3764832,,,"교육,학문 > 교육단체 > 체험학습장",문화시설
계곡생활문화센터,전남 해남군 계곡면 성진리 83,1242448153,34.64547684,126.6600231,,,"교육,학문 > 문화센터",문화시설
참마트,전남 강진군 강진읍 평동리 175-6,1937304956,34.6379957,126.7679697,대형마트,MT1,"가정,생활 > 대형마트",대형마트
강진군문화관광재단,전남 강진군 강진읍 남성리 50-17,26624430,34.63851485,126.7736888,,,"사회,공공기관 > 단체,협회",문화시설
성요셉상호문화고등학교,전남 강진군 강진읍 평동리 100,376612955,34.63252756,126.7670045,,,"교육,학문 > 학교 > 대안학교",문화시설
문화마을회관,전남 강진군 군동면 호계리 1291-9,23943173,34.64963328,126.7867744,,,"가정,생활 > 친목 > 마을회관",문화시설
남도음식문화큰잔치,전남 강진군 강진읍 목리 437,1660842128,34.6211257,126.7744164,,,여행 > 축제,문화시설
강진청소년문화의집,전남 강진군 강진읍 남성리 94,1889929241,34.64154528,126.7687812,,,"사회,공공기관 > 단체,협회 > 사회복지시설 > 청소년복지시설",문화시설
용산농협문화센터,전남 장흥군 용산면 인암리 814-4,1214484656,34.6162262,126.9153527,,,"교육,학문 > 문화센터",문화시설
문화체육시설사업소,전남 고흥군 고흥읍 호형리 991,15394878,34.61251221,127.2975907,,,"스포츠,레저 > 스포츠시설 > 체육관",문화시설
평촌명품마을문화어울터,전남 고흥군 점암면 성기리 381,27456454,34.6412117,127.4144445,,,"교육,학문 > 교육단체 > 체험학습장",문화시설
팔영산자연휴양림 산림문화휴양관,전남 고흥군 영남면 우천리 산 350-1,17576282,34.62170715,127.4400162,,,여행 > 관광지부속시설,문화시설
전라우수영문화예술진흥회,전남 해남군 문내면 동외리 836-2,1152521531,34.59854734,126.3115727,,,"사회,공공기관 > 단체,협회",문화시설
화원면복합문화센터,전남 해남군 화원면 금평리 239-9,1415832379,34.66830204,126.3273309,,,"교육,학문 > 문화센터",문화시설
갈동공동문화복지센터,전남 강진군 작천면 갈동리 616-5,926875462,34.71548424,126.7470916,,,"교육,학문 > 문화센터",문화시설
문화온천,전남 장흥군 장흥읍 건산리 743-37,16549858,34.67665384,126.9065839,,,"가정,생활 > 목욕탕,사우나",문화시설
문화공감 에움,전남 장흥군 장흥읍 순지리 410,2016577864,34.65643487,126.8837153,학원,AC5,"교육,학문 > 학원 > 음악학원",문화시설
장흥문화예술회관,전남 장흥군 장흥읍 남동리 60,9388149,34.67662554,126.8982606,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
장흥문화예술회관 주차장,전남 장흥군 장흥읍 남동리 60,17577563,34.67592898,126.8974845,주차장,PK6,"교통,수송 > 교통시설 > 주차장",문화시설
장흥문화예술회관 테니스장,전남 장흥군 장흥읍 남동리 60,17569742,34.6755539,126.8973802,,,"스포츠,레저 > 테니스 > 테니스장",문화시설
장흥문화예술회관 진입로2,전남 장흥군 장흥읍 남외리 산 10-8,18151430,34.67631459,126.8972396,,,"교통,수송 > 입출구",문화시설
장흥문화예술회관 진입로1,전남 장흥군 장흥읍 남외리 2-1,18094666,34.67635426,126.8972439,,,"교통,수송 > 입출구",문화시설
중고리문화회관,전남 강진군 병영면 중고리 196,23941058,34.71533861,126.7963828,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
장애인문화관광센터 전라남도지부,전남 장흥군 장흥읍 건산리 465-5,1187543318,34.68013178,126.9117217,,,"사회,공공기관 > 단체,협회 > 사회복지시설 > 장애인복지시설",문화시설
LG뉴하이샤시 문화기업,전남 강진군 병영면 삼인리 334-3,1960156464,34.71322055,126.8164227,,,"서비스,산업 > 건설,건축 > 건설자재 > 셔터,샷시",문화시설
