bd_name,bd_address,bd_id,bd_lat,bd_lon,cat_gr,cat_cd,cat_name,keyword
금산공공하수처리시설,전남 고흥군 금산면 신전리 996-4,370108119,34.45755742,127.1082966,,,"사회,공공기관 > 행정기관 > 상수도사업본부",처리시설
광석태양광발전소,전남 고흥군 도화면 가화리 556,11401298,34.50565434,127.2888432,,,"서비스,산업 > 에너지",발전소
한국해양과학기술원 울돌목시험조류발전소,전남 진도군 군내면 녹진리 1952-5,17868903,34.56421367,126.308966,,,"교육,학문 > 연구소 > 자연과학",발전소
이레태양광발전소,전남 장흥군 관산읍 남송리 산 19-1,751287340,34.57375861,126.9256573,,,"서비스,산업 > 에너지",발전소
고흥가축분뇨공공처리시설,전남 고흥군 도덕면 신양리 2849-16,490055949,34.58103645,127.1897961,,,"서비스,산업 > 환경 > 쓰레기,폐기물처리",처리시설
고흥봉양태양광발전소,전남 고흥군 풍양면 봉양리 38-2,500144721,34.5680926,127.2291933,,,"서비스,산업 > 에너지",발전소
여수수협 수산물처리저장시설,전남 여수시 봉산동 100-7,405082930,34.72973979,127.7297186,,,"서비스,산업 > 보관,저장",처리시설
영어발전소,전남 여수시 봉계동 5-5,1055554194,34.78459462,127.6921272,학원,AC5,"교육,학문 > 학원 > 어학원 > 영어학원",발전소
음식물처리나라,전남 목포시 상동 923-13,11410533,34.8022458,126.4147297,,,"서비스,산업 > 환경",처리시설
목포시환경에너지센타하수슬러지처리시설,전남 목포시 대양동 710,26044549,34.83697673,126.4084406,,,"서비스,산업 > 환경 > 쓰레기,폐기물처리",처리시설
목포시환경에너지센터 생활폐기물전처리시설,전남 목포시 대양동 711,796895017,34.83743964,126.4087281,,,"서비스,산업 > 환경 > 쓰레기,폐기물처리",처리시설
과학발전소학원,전남 목포시 상동 984-2,1874855966,34.80212986,126.4236783,학원,AC5,"교육,학문 > 학원",발전소
마륜리2호태양광발전소,전남 고흥군 동강면 마륜리 470,1623987530,34.78510744,127.3107411,,,"서비스,산업 > 에너지",발전소
대연에너지 순천발전소,전남 순천시 별량면 두고리 301-57,559192863,34.85437554,127.4377194,,,"서비스,산업 > 에너지",발전소
그린테크,전남 여수시 월하동 642-1,8814731,34.8051105,127.6682184,,,"서비스,산업 > 건설,건축 > 건설자재 > 페인트,도장",처리시설
남동발전소 구내식당,전남 여수시 중흥동 1300-26,2066018191,34.84041392,127.6927713,음식점,FD6,음식점,발전소
남해에덴교육농장 태양광발전소 전기차충전소,경남 남해군 창선면 당저리 544,1238705228,34.8405589,128.0111641,,,"교통,수송 > 자동차 > 전기자동차 충전소",발전소
산양마을하수처리시설,경남 거제시 동부면 산양리 820,26857340,34.82460345,128.6055311,,,"서비스,산업 > 환경",처리시설
거제면 공공하수처리시설,경남 거제시 거제면 남동리 163-8,17905211,34.84126639,128.589339,,,"사회,공공기관 > 행정기관 > 상수도사업본부 > 취수장,정수장",처리시설
망치망양마을 공공하수처리시설,경남 거제시 일운면 망치리 산 93-2,127214141,34.80888859,128.6652723,,,"사회,공공기관 > 지방행정기관",처리시설
거제사업소 일운면공공하수처리시설,경남 거제시 일운면 지세포리 산 60-2,281828441,34.82260045,128.7069609,,,"서비스,산업 > 환경",처리시설
율촌공공폐수처리시설,전남 여수시 율촌면 조화리 921,2083278968,34.88245414,127.5943922,,,"서비스,산업 > 환경",처리시설
씨지앤율촌전력,전남 광양시 광양읍 세풍리 2199,104096575,34.91290866,127.5939332,,,"서비스,산업 > 에너지 > 전기",발전소
세븐일레븐 경남삼천포발전소점,경남 고성군 하이면 덕호리 952,636648167,34.91086601,128.1092315,편의점,CS2,"가정,생활 > 편의점 > 세븐일레븐",발전소
한덕발전소,전남 나주시 동강면 대전리 1049-1,1773005049,34.91481446,126.5530416,,,"서비스,산업 > 제조업 > 전기,전자 > 전기자재,부품 > 발전,변압기",발전소
춘양태양광발전소,전남 화순군 춘양면 양곡리 산 9,1903237760,34.95814084,126.9306733,,,"서비스,산업 > 제조업 > 전기,전자 > 전기자재,부품",발전소
함경태양광발전소,전남 화순군 춘양면 양곡리 463-1,1241089792,34.95836059,126.9305629,,,"서비스,산업 > 에너지",발전소
아트에너지발전소,전남 순천시 생목동 34-5,516635177,34.95020781,127.5065388,,,"문화,예술 > 문화예술단체",발전소
배효진헤어발전소,전남 순천시 연향동 1472-6,15218975,34.94632302,127.5253919,,,"가정,생활 > 미용 > 미용실",발전소
광양시위생처리사업소 관리,전남 광양시 광양읍 죽림리 128-1,11753316,34.96752045,127.6436142,,,"서비스,산업 > 환경",처리시설
국어발전소,전남 광양시 마동 1055,721488933,34.9528717,127.6887524,학원,AC5,"교육,학문 > 학원",발전소
세븐일레븐 고성하이화력발전소점,경남 고성군 하이면 덕호리 16-8,1506856257,34.92625714,128.1299779,편의점,CS2,"가정,생활 > 편의점 > 세븐일레븐",발전소
롯데ATM 세븐일레븐하이화력발전소(CD),경남 고성군 하이면 덕호리 16-8,1590066823,34.92625767,128.129921,은행,BK9,"금융,보험 > 금융서비스 > 은행 > ATM",발전소
통영안전공단폐수처리사업소,경남 통영시 광도면 황리 1610,8128665,34.95907242,128.4253916,,,"사회,공공기관 > 지방행정기관",처리시설
나주시위생처리관리소,전남 나주시 진포동 산 5-2,27000339,34.99883258,126.6860673,,,"사회,공공기관 > 지방행정기관",처리시설
고룡태양광발전소,경남 하동군 진교면 진교리 429-13,1283362741,35.03205568,127.9011434,,,"서비스,산업 > 에너지",발전소
채희태양광발전소,경남 하동군 양보면 지례리 3-1,751967156,35.05465402,127.872419,,,"서비스,산업 > 에너지",발전소
사천수상태양광발전소 구룡저수지,경남 사천시 사남면 우천리 1028-1,448558182,35.0364188,128.1181276,,,"서비스,산업 > 제조업 > 전기,전자 > 전기자재,부품",발전소
북신안농협 미곡종합처리장,전남 신안군 지도읍 광정리 34-1,12493568,35.06042506,126.2340483,,,"금융,보험 > 금융서비스 > 협동,소비조합 > 농축협농협",처리시설
