bd_name,bd_address,bd_id,bd_lat,bd_lon,cat_gr,cat_cd,cat_name,keyword
완도대성병원,전남 완도군 완도읍 가용리 56,7824013,34.31713261734282,126.73557958537012,,,"의료,건강 > 병원",종합병원
한국병원 산부인과,전남 진도군 진도읍 남동리 523-1,938311566,34.482570543638,126.264093226757,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
해남한국병원,전남 해남군 해남읍 고도리 117-1,8600998,34.566899348606,126.595784221165,,,"의료,건강 > 병원",종합병원
해남종합병원,전남 해남군 해남읍 해리 182-1,10916667,34.5718038661574,126.612678173265,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
해남우리종합병원,전남 해남군 옥천면 영신리 251,10921590,34.5842384365633,126.646583013495,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
해남종합병원 장례식장,전남 해남군 해남읍 해리 182-11,14863983,34.5716155545112,126.613559584125,,,"가정,생활 > 장례 > 장례식장",종합병원
코로나19 해남종합병원 선별진료소,전남 해남군 해남읍 해리 182-1,1249059510,34.5718038661574,126.612678173265,,,이슈 > 선별진료소,종합병원
해남우리종합병원 장례식장,전남 해남군 옥천면 영신리 251,8028030,34.5842889291533,126.646587159503,,,"가정,생활 > 장례 > 장례식장",종합병원
해남종합병원 응급실,전남 해남군 해남읍 해리 182-1,9564805,34.571530945453475,126.61303034584778,,,"의료,건강 > 병원 > 응급실",종합병원
해남종합병원 정형외과,전남 해남군 해남읍 해리 182-1,9569938,34.5717785570611,126.612656495106,병원,HP8,"의료,건강 > 병원 > 정형외과",종합병원
코로나19 의료법인행촌의료재단 해남종합병원 위탁의료기관,전남 해남군 해남읍 해리 182-1,423552011,34.57180386615735,126.61267817326473,,,이슈 > 백신접종 > 위탁의료기관,종합병원
해남종합병원 소아과,전남 해남군 해남읍 해리 182-1,10111639,34.5717822595876,126.612686991674,병원,HP8,"의료,건강 > 병원 > 소아청소년과",종합병원
해남종합병원 건강검진센터,전남 해남군 해남읍 해리 182-1,9647163,34.5718038661574,126.612678173265,,,"의료,건강 > 건강검진",종합병원
코로나19 해남우리종합병원 선별진료소,전남 해남군 옥천면 영신리 251,1256748181,34.5843800435719,126.646922476017,,,이슈 > 선별진료소,종합병원
해남종합병원 식당,전남 해남군 해남읍 해리 182-1,10111640,34.5718256940135,126.61273909955,음식점,FD6,음식점 > 구내식당,종합병원
해남종합병원 영상의학과,전남 해남군 해남읍 해리 182-1,10015127,34.5717242224773,126.612578283246,병원,HP8,"의료,건강 > 병원 > 영상의학과",종합병원
코로나19 해남우리종합병원 위탁의료기관,전남 해남군 옥천면 영신리 251,463670605,34.584238436563346,126.64658301349536,,,이슈 > 백신접종 > 위탁의료기관,종합병원
해남종합병원 주차장,전남 해남군 해남읍 해리 182-1,18090850,34.5710811231954,126.613313589873,주차장,PK6,"교통,수송 > 교통시설 > 주차장",종합병원
해남종합병원주차장,전남 해남군 해남읍 해리 660-2,20588651,34.5717356117198,126.611623586852,주차장,PK6,"교통,수송 > 교통시설 > 주차장",종합병원
해남종합병원 내과2,전남 해남군 해남읍 해리 182-1,8636452,34.5717242224773,126.612578283246,병원,HP8,"의료,건강 > 병원 > 내과",종합병원
해남종합병원 출입구,전남 해남군 해남읍 해리 179-3,18090846,34.5710406949067,126.611936311915,,,"교통,수송 > 입출구",종합병원
해남우리종합병원 진단영상의학과,전남 해남군 옥천면 영신리 251,12330607,34.5842600834588,126.646587281618,,,"의료,건강 > 병원부속시설",종합병원
해남종합병원 행촌미술관,전남 해남군 해남읍 구교리 683-12,736675592,34.58749688260045,126.58151257810877,문화시설,CT1,"문화,예술 > 문화시설 > 미술관",종합병원
국립소록도병원,전남 고흥군 도양읍 소록리 213,11255134,34.5116723650461,127.121362728163,병원,HP8,"의료,건강 > 병원 > 국립병원",종합병원
녹동현대병원,전남 고흥군 도양읍 용정리 233-5,10268244,34.54622185072464,127.14571415373858,,,"의료,건강 > 병원",종합병원
전라남도 강진의료원,전남 강진군 강진읍 서성리 305-26,8064383,34.6367360985851,126.75807577750334,병원,HP8,"의료,건강 > 병원 > 시도립병원",종합병원
고흥윤호21병원,전남 고흥군 고흥읍 남계리 838-2,11252040,34.60657630764158,127.2816161436758,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
고흥종합병원,전남 고흥군 고흥읍 남계리 186,27417941,34.6210628524436,127.294031571071,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
고흥종합동물병원,전남 고흥군 고흥읍 남계리 840-3,984842807,34.6025284096703,127.279061264102,병원,HP8,"가정,생활 > 반려동물 > 동물병원",종합병원
고흥종합병원 장례식장,전남 고흥군 고흥읍 남계리 188-1,14650796,34.6210629365425,127.293996677799,,,"가정,생활 > 장례 > 장례식장",종합병원
코로나19 고흥종합병원 선별진료소,전남 고흥군 고흥읍 남계리 186,957122157,34.6210628524436,127.294031571071,,,이슈 > 선별진료소,종합병원
고흥종합병원 응급실,전남 고흥군 고흥읍 남계리 186,8747898,34.621080639159395,127.29413195283148,,,"의료,건강 > 병원 > 응급실",종합병원
고흥종합병원 장례식당,전남 고흥군 고흥읍 남계리 186,21521345,34.6210734067036,127.294140650707,음식점,FD6,음식점 > 구내식당,종합병원
코로나19 의료법인영성의료재단 고흥종합병원 위탁의료기관,전남 고흥군 고흥읍 남계리 186,423469405,34.621062852443565,127.29403157107066,,,이슈 > 백신접종 > 위탁의료기관,종합병원
고흥종합병원 매점,전남 고흥군 고흥읍 남계리 186,8747411,34.6210698115092,127.294136276326,,,"가정,생활 > 식품판매",종합병원
여천종합동물병원,전남 여수시 돌산읍 군내리 545,692586772,34.6153210641445,127.722237128776,병원,HP8,"가정,생활 > 반려동물 > 동물병원",종합병원
해남종합병원행촌수련원,전남 해남군 문내면 예락리 1345,23941105,34.612796045644,126.268057177135,,,"교육,학문 > 교육단체 > 연수원",종합병원
장흥종합병원,전남 장흥군 장흥읍 건산리 383-5,8541662,34.67709245446984,126.91089455209965,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
장흥우리병원,전남 장흥군 장흥읍 건산리 402-1,11168476,34.6783699571374,126.911134334395,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
장흥종합병원 별관,전남 장흥군 장흥읍 건산리 369-2,321511042,34.6770982400202,126.911411756974,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
장흥종합병원 장례식장,전남 장흥군 장흥읍 건산리 383-5,8068702,34.6772304060008,126.910939142082,,,"가정,생활 > 장례 > 장례식장",종합병원
코로나19 장흥종합병원 선별진료소,전남 장흥군 장흥읍 건산리 412,655485599,34.678406986969726,126.91247862831396,,,이슈 > 선별진료소,종합병원
행촌장흥종합병원 장례식장식당,전남 장흥군 장흥읍 건산리 383-5,21276160,34.6772304091895,126.910943506736,음식점,FD6,음식점 > 구내식당,종합병원
코로나19 의료법인 우범의료재단 장흥종합병원 위탁의료기관,전남 장흥군 장흥읍 건산리 383-5,454684767,34.67709245446984,126.91089455209965,,,이슈 > 백신접종 > 위탁의료기관,종합병원
원광대학교 장흥통합의료병원,전남 장흥군 안양면 기산리 1-1,1360002501,34.67901812702909,126.95836244024716,,,"의료,건강 > 병원",대학병원
원광대학교 장흥통합의료병원 난치질환통합치료연구소,전남 장흥군 안양면 비동리 398-1,27399053,34.67886749383216,126.95808753672868,,,"교육,학문 > 연구소 > 의학,약학연구소",대학병원
목포노동병원,전남 목포시 행복동2가 6,8215245,34.786939216562075,126.38601108501646,,,"의료,건강 > 병원",종합병원
시계대학병원,전남 여수시 문수동 179-7,19899809,34.7526940130745,127.700682076882,,,"가정,생활 > 패션 > 보석,귀금속 > 시계",대학병원
여수제일병원,전남 여수시 학동 43-2,8477055,34.7660300760985,127.663529689353,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
여수한국병원,전남 여수시 신기동 75-15,26304685,34.761117559405314,127.6746661915943,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
여천전남병원,전남 여수시 선원동 1311-3,8001753,34.7691053970692,127.654247504628,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
여수전남병원,전남 여수시 광무동 175-1,9905183,34.745021988800815,127.72807517471915,병원,HP8,"의료,건강 > 병원 > 종합병원",종합병원
